IRICategoryId,IRIUPC,UPCName,Category,SubCategory,ParentCompany,Manufacturer,IRIUPC_SixDigit,IRIUPC_EightDigit,IRIUPC_NineDigit,IRIUPC_TenDigit,IRIUPC_TenDigitV2,IRIUPC_ElevenDigit,IRIUPC_ElevenDigitV2,LastUpdatedUserId,IsDeleted,LineageID,Modified,Created,IsPepsiCategory,BU,LineExtension,TradeMark,CustomUSFLNASaltySnacksSize,CustomUSCount,CustomUSSizePerUnitOz,IRIUPC_SrcEightDigit,IRIUPC_SrcNineDigit,IRIUPC_SrcTenDigit,ItemLaunchWeek,ItemLaunchYear,BrandLaunchWeek,BrandLaunchYear,CustomUSPackage,IRICategoryHead
10,0000001122254,ICE MOUNTAIN NATURAL SPRING WATER PLASTIC BOTTLE 1 CT 23.7 OZ ,TOTAL WATER,REG UNFLAVORED NJSW (RUNJSW),NESTLE S.A. (SWITZERLAND),NESTLE WATERS NORTH AMERICA INC,001122,00112225,000112225,0000112225,0000011222,00000112225,00000011222,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,Beverages,ICE MOUNTAIN,ICE MOUNTAIN,N/A,1 CT,23.7,00001122,000011222,0000112225,Before 2013,Before 2013,Before 2013,Before 2013,PLASTIC BOTTLE,
11,0000001201301,PEPSI SODA COLA CAN 1 CT 12 OZ ,CARBONATED SOFT DRINKS,CARBONATED SOFT DRINKS,PEPSICO INC,PCNA,001201,00120130,000120130,0000120130,0000012013,00000120130,00000012013,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Beverages,PEPSI BASE,PEPSI,N/A,1 CT,12.0,00001201,000012013,0000120130,NOT Qualified,NOT Qualified,Before 2013,Before 2013,CAN,
12,0000001204561,PRIVATE LABEL PRETZEL REGULAR BAG 18 OZ - 3481526,SALTY SNACKS,PRETZELS,PRIVATE LABEL,PRIVATE LABEL,001204,00120456,000120456,0000120456,0000012045,00000120456,00000012045,PChaturvedula,True,1,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,FLNA,,,,,,,,,,,,,,
13,0000001212901,PEPSI SODA COLA NR PLASTIC BOTTLE 1 CT 20 OZ - 0000001212901,CARBONATED SOFT DRINKS,CARBONATED SOFT DRINKS,PEPSICO INC,PCNA,001212,00121290,000121290,0000121290,0000012129,00000121290,00000012129,PChaturvedula,True,1,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Beverages,,,,,,,,,,,,,,
14,0000001215704,AQUAFINA NATURAL PURIFIED WATER PLASTIC BOTTLE 1 CT 33.8 OZ ,TOTAL WATER,REG UNFLAVORED NJSW (RUNJSW),PEPSICO INC,PCNA,001215,00121570,000121570,0000121570,0000012157,00000121570,00000012157,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,Beverages,AQUAFINA BASE,AQUAFINA,N/A,1 CT,33.8,00001215,000012157,0000121570,Before 2013,Before 2013,Before 2013,Before 2013,PLASTIC BOTTLE,
15,0000001215901,AQUAFINA NATURAL WATER PLASTIC BOTTLE 1 CT 20 OZ ,TOTAL WATER,REG UNFLAVORED NJSW (RUNJSW),PEPSICO INC,PCNA,001215,00121590,000121590,0000121590,0000012159,00000121590,00000012159,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,Beverages,AQUAFINA BASE,AQUAFINA,N/A,1 CT,20.0,00001215,000012159,0000121590,Before 2013,Before 2013,Before 2013,Before 2013,PLASTIC BOTTLE,
16,0000001216641,POST FRUITY PEBBLES RICE FLAKE FRUIT 1 CT 11 OZ ,RTE CEREAL,RTE CEREAL,POST HOLDINGS INC,POST HOLDINGS INC,001216,00121664,000121664,0000121664,0000012166,00000121664,00000012166,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,POST FRUITY PEBBLES,POST PEBBLES (ALL),N/A,1 CT,11.0,00001216,000012166,0000121664,Before 2013,Before 2013,Before 2013,Before 2013,BOX,
17,0000001223002,PEPSI SODA COLA NR PLASTIC BOTTLE 1 CT 67.6 OZ ,CARBONATED SOFT DRINKS,CARBONATED SOFT DRINKS,PEPSICO INC,PCNA,001223,00122300,000122300,0000122300,0000012230,00000122300,00000012230,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Beverages,PEPSI BASE,PEPSI,N/A,1 CT,67.6,00001223,000012230,0000122300,Before 2013,Before 2013,Before 2013,Before 2013,PLASTIC BOTTLE,
18,0000001380241,A & W SODA ROOT BEER PLASTIC BOTTLE 1 CT 67.6 OZ ,CARBONATED SOFT DRINKS,CARBONATED SOFT DRINKS,DR PEPPER/SNAPPLE GROUP,DPSG,001380,00138024,000138024,0000138024,0000013802,00000138024,00000013802,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Beverages,A & W,A & W,N/A,1 CT,67.6,00001380,000013802,0000138024,Before 2013,Before 2013,Before 2013,Before 2013,PLASTIC BOTTLE,
19,0000001390581,KELLOGGS SPECIAL K RICE AND WHEAT FLAKE REGULAR VALUE NOT AVAILABLE 1 CT 12 OZ - 0000001390581,RTE CEREAL,RTE CEREAL,KELLOGG CO,KELLOGG CO,001390,00139058,000139058,0000139058,0000013905,00000139058,00000013905,PChaturvedula,True,1,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,,,,,,,,,,,,,,
20,0000001443081,PRIVATE LABEL NATURAL PURIFIED WATER NR PLASTIC BOTTLE 24 CT 405.6 OZ ,TOTAL WATER,REG UNFLAVORED NJSW (RUNJSW),PRIVATE LABEL,PRIVATE LABEL,001443,00144308,000144308,0000144308,0000014430,00000144308,00000014430,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,Beverages,PRIVATE LABEL,PRIVATE LABEL,N/A,24 CT,16.9,00001443,000014430,0000144308,Before 2013,Before 2013,Before 2013,Before 2013,PLASTIC BOTTLE,
21,0000001481141,DIET COKE SODA COLA PLASTIC BOTTLE 1 CT 20 OZ ,CARBONATED SOFT DRINKS,CARBONATED SOFT DRINKS,COCA COLA CO,COCA COLA,001481,00148114,000148114,0000148114,0000014811,00000148114,00000014811,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Beverages,COKE CLASSIC,COKE,N/A,1 CT,20.0,00001481,000014811,0000148114,Before 2013,Before 2013,Before 2013,Before 2013,PLASTIC BOTTLE,
22,0000001699051,GENERAL MILLS CHEERIOS WHOLE GRAIN OAT RING TOASTED VALUE NOT AVAILABLE 1 CT 12 OZ - 0000001699051,RTE CEREAL,RTE CEREAL,GENERAL MILLS INC,GENERAL MILLS,001699,00169905,000169905,0000169905,0000016990,00000169905,00000016990,PChaturvedula,True,1,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,,,,,,,,,,,,,,
23,0000001739632,AQUAFINA NATURAL WATER NR PLASTIC BOTTLE 1 CT 33.8 OZ ,TOTAL WATER,REG UNFLAVORED NJSW (RUNJSW),PEPSICO INC,PCNA,001739,00173963,000173963,0000173963,0000017396,00000173963,00000017396,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,Beverages,AQUAFINA BASE,AQUAFINA,N/A,1 CT,33.8,00001739,000017396,0000173963,Before 2013,Before 2013,Before 2013,Before 2013,PLASTIC BOTTLE,
24,0000001746891,ARROWHEAD NATURAL SPRING WATER NR PLASTIC BOTTLE 1 CT 23.7 OZ ,TOTAL WATER,REG UNFLAVORED NJSW (RUNJSW),NESTLE S.A. (SWITZERLAND),NESTLE WATERS NORTH AMERICA INC,001746,00174689,000174689,0000174689,0000017468,00000174689,00000017468,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,Beverages,ARROWHEAD,ARROWHEAD,N/A,1 CT,23.7,00001746,000017468,0000174689,Before 2013,Before 2013,Before 2013,Before 2013,PLASTIC BOTTLE,
25,0000001747381,ARROWHEAD NATURAL SPRING WATER PLASTIC BOTTLE 1 CT 33.8 OZ ,TOTAL WATER,REG UNFLAVORED NJSW (RUNJSW),NESTLE S.A. (SWITZERLAND),NESTLE WATERS NORTH AMERICA INC,001747,00174738,000174738,0000174738,0000017473,00000174738,00000017473,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,Beverages,ARROWHEAD,ARROWHEAD,N/A,1 CT,33.8,00001747,000017473,0000174738,Before 2013,Before 2013,Before 2013,Before 2013,PLASTIC BOTTLE,
26,0000001828572,PRIVATE LABEL NATURAL SPRING WATER PLASTIC BOTTLE 1 CT 24 OZ ,TOTAL WATER,REG UNFLAVORED NJSW (RUNJSW),PRIVATE LABEL,PRIVATE LABEL,001828,00182857,000182857,0000182857,0000018285,00000182857,00000018285,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,Beverages,PRIVATE LABEL,PRIVATE LABEL,N/A,1 CT,24.0,00001828,000018285,0000182857,Before 2013,Before 2013,Before 2013,Before 2013,PLASTIC BOTTLE,
27,0000001838192,FIJI NATURAL ARTESIAN WATER PLASTIC BOTTLE IN BX 1 CT 33.8 OZ ,TOTAL WATER,REG UNFLAVORED NJSW (RUNJSW),THE WONDERFUL CO,NATURAL WATERS OF VITI LIMITED,001838,00183819,000183819,0000183819,0000018381,00000183819,00000018381,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,Beverages,FIJI,FIJI,N/A,1 CT,33.8,00001838,000018381,0000183819,Before 2013,Before 2013,Before 2013,Before 2013,PLASTIC BOTTLE,
28,0000001845241,KELLOGGS SPECIAL K RICE AND WHEAT FLAKE BERRY 1 CT 11.2 OZ ,RTE CEREAL,RTE CEREAL,KELLOGG CO,KELLOGG CO,001845,00184524,000184524,0000184524,0000018452,00000184524,00000018452,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Quaker,KELLOGGS SPECIAL K (BASE),KELLOGGS SPECIAL K (ALL),N/A,1 CT,11.2,00001845,000018452,0000184524,Before 2013,Before 2013,Before 2013,Before 2013,BOX,
29,0000001848713,POLAND SPRING NATURAL SPRING WATER NR PLASTIC BOTTLE 28 CT 473.2 OZ ,TOTAL WATER,REG UNFLAVORED NJSW (RUNJSW),NESTLE S.A. (SWITZERLAND),NESTLE WATERS NORTH AMERICA INC,001848,00184871,000184871,0000184871,0000018487,00000184871,00000018487,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,Beverages,POLAND SPRING,POLAND SPRING,N/A,28 CT,16.9,00001848,000018487,0000184871,Before 2013,Before 2013,Before 2013,Before 2013,PLASTIC BOTTLE,
30,0000001848731,POLAND SPRING NATURAL SPRING WATER NR PLASTIC BOTTLE 24 CT 405.6 OZ ,TOTAL WATER,REG UNFLAVORED NJSW (RUNJSW),NESTLE S.A. (SWITZERLAND),NESTLE WATERS NORTH AMERICA INC,001848,00184873,000184873,0000184873,0000018487,00000184873,00000018487,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,Beverages,POLAND SPRING,POLAND SPRING,N/A,24 CT,16.9,00001848,000018487,0000184873,Before 2013,Before 2013,Before 2013,Before 2013,PLASTIC BOTTLE,
31,0000001885181,ARROWHEAD NATURAL SPRING WATER NR PLASTIC BOTTLE 24 CT 405.6 OZ ,TOTAL WATER,REG UNFLAVORED NJSW (RUNJSW),NESTLE S.A. (SWITZERLAND),NESTLE WATERS NORTH AMERICA INC,001885,00188518,000188518,0000188518,0000018851,00000188518,00000018851,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,Beverages,ARROWHEAD,ARROWHEAD,N/A,24 CT,16.9,00001885,000018851,0000188518,Before 2013,Before 2013,Before 2013,Before 2013,PLASTIC BOTTLE,
32,0000001905512,ZEPHYRHILLS NATURAL SPRING WATER NR PLASTIC BOTTLE 24 CT 405.6 OZ ,TOTAL WATER,REG UNFLAVORED NJSW (RUNJSW),NESTLE S.A. (SWITZERLAND),NESTLE WATERS NORTH AMERICA INC,001905,00190551,000190551,0000190551,0000019055,00000190551,00000019055,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,Beverages,ZEPHYRHILLS,ZEPHYRHILLS,N/A,24 CT,16.9,00001905,000019055,0000190551,Before 2013,Before 2013,Before 2013,Before 2013,PLASTIC BOTTLE,
33,0000001969313,POLAND SPRING NATURAL SPRING WATER PLASTIC BOTTLE 1 CT 23.7 OZ ,TOTAL WATER,REG UNFLAVORED NJSW (RUNJSW),NESTLE S.A. (SWITZERLAND),NESTLE WATERS NORTH AMERICA INC,001969,00196931,000196931,0000196931,0000019693,00000196931,00000019693,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,Beverages,POLAND SPRING,POLAND SPRING,N/A,1 CT,23.7,00001969,000019693,0000196931,Before 2013,Before 2013,Before 2013,Before 2013,PLASTIC BOTTLE,
34,0000002351223,PERRIER NATURAL SPRK MINERAL WATER PLASTIC BOTTLE 1 CT 16.9 OZ ,TOTAL WATER,SPARKLING/SELTZER WATER,NESTLE S.A. (SWITZERLAND),NESTLE WATERS NORTH AMERICA INC,002351,00235122,000235122,0000235122,0000023512,00000235122,00000023512,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,Beverages,PERRIER,PERRIER,N/A,1 CT,16.9,00002351,000023512,0000235122,Before 2013,Before 2013,Before 2013,Before 2013,PLASTIC BOTTLE,
35,0000002355841,PRIVATE LABEL PRETZEL PEANUT BUTTER PEG BAG 5 OZ - 3608651,SALTY SNACKS,PRETZELS,PRIVATE LABEL,PRIVATE LABEL,002355,00235584,000235584,0000235584,0000023558,00000235584,00000023558,PChaturvedula,True,1,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,FLNA,,,,,,,,,,,,,,
36,0000002461931,POLAND SPRING LEMON SPRING WATER PLASTIC BOTTLE 1 CT 16.9 OZ ,TOTAL WATER,ENHANCED NJSW (ENJSW),NESTLE S.A. (SWITZERLAND),NESTLE WATERS NORTH AMERICA INC,002461,00246193,000246193,0000246193,0000024619,00000246193,00000024619,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,Beverages,POLAND SPRING,POLAND SPRING,N/A,1 CT,16.9,00002461,000024619,0000246193,Before 2013,Before 2013,Before 2013,Before 2013,PLASTIC BOTTLE,
37,0000002496451,ARROWHEAD ORANGE SPARKLING SPRING WTR PLASTIC BOTTLE 6 CT 101.4 OZ ,TOTAL WATER,SPARKLING/SELTZER WATER,NESTLE S.A. (SWITZERLAND),NESTLE WATERS NORTH AMERICA INC,002496,00249645,000249645,0000249645,0000024964,00000249645,00000024964,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,Beverages,ARROWHEAD,ARROWHEAD,N/A,6 CT,16.9,00002496,000024964,0000249645,Wk - 04-26-15,2015,Before 2013,Before 2013,PLASTIC BOTTLE,
38,0000002497131,DASANI ORANGE WATER NR PLASTIC BOTTLE 6 CT 101.4 OZ ,TOTAL WATER,ENHANCED NJSW (ENJSW),COCA COLA CO,COCA COLA,002497,00249713,000249713,0000249713,0000024971,00000249713,00000024971,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,Beverages,DASANI,DASANI,N/A,6 CT,16.9,00002497,000024971,0000249713,Wk - 05-31-15,2015,Before 2013,Before 2013,PLASTIC BOTTLE,
39,0000002498921,ZEPHYRHILLS ORANGE SPARKLING SPRING WTR PLASTIC BOTTLE 6 CT 101.4 OZ ,TOTAL WATER,SPARKLING/SELTZER WATER,NESTLE S.A. (SWITZERLAND),NESTLE WATERS NORTH AMERICA INC,002498,00249892,000249892,0000249892,0000024989,00000249892,00000024989,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,Beverages,ZEPHYRHILLS,ZEPHYRHILLS,N/A,6 CT,16.9,00002498,000024989,0000249892,Wk - 06-21-15,2015,Before 2013,Before 2013,PLASTIC BOTTLE,
40,0000002502101,SIMPLY LEMONADE LEMONADE DRINK NT FRM CNCNTRT PSTRZ PLASTIC BOTTLE 1 CT 11.5 OZ ,TOTAL JUICE & DRINKS,CHILLED DRINKS,COCA COLA CO,COCA COLA,002502,00250210,000250210,0000250210,0000025021,00000250210,00000025021,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Beverages,SIMPLY LEMONADE,SIMPLY,N/A,1 CT,11.5,00002502,000025021,0000250210,Wk - 12-25-16,2016,Before 2013,Before 2013,PLASTIC BOTTLE,
41,0000002647151,ARIZONA GREEN TEA PREPARED ICED TEA CAN 1 CT 23.5 OZ ,TOTAL RTD TEA,SHELF STABLE RTD TEA,FEROLITO VULTAGGIO & SONS,ARIZONA BEVERAGES CO,002647,00264715,000264715,0000264715,0000026471,00000264715,00000026471,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Beverages,ARIZONA,ARIZONA,N/A,1 CT,23.5,00002647,000026471,0000264715,Before 2013,Before 2013,Before 2013,Before 2013,CAN,
42,0000002647171,ARIZONA FRUIT PUNCH DRINK 1 CT 23 OZ ,TOTAL JUICE & DRINKS,SHELF STABLE J&D,FEROLITO VULTAGGIO & SONS,ARIZONA BEVERAGES CO,002647,00264717,000264717,0000264717,0000026471,00000264717,00000026471,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,Beverages,ARIZONA,ARIZONA,N/A,1 CT,23.0,00002647,000026471,0000264717,Before 2013,Before 2013,Before 2013,Before 2013,CAN,
43,0000002722313,PRIVATE LABEL RTE POPCORN BUTTER BAG 5 OZ - 15717316,SALTY SNACKS,RTE POPCORN,PRIVATE LABEL,PRIVATE LABEL,002722,00272231,000272231,0000272231,0000027223,00000272231,00000027223,PChaturvedula,True,1,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,FLNA,,,,,,,,,,,,,,
44,0000002802941,SERVATII PRETZEL SESAME PLASTIC BAG 16 OZ - 0000002802941,SALTY SNACKS,PRETZELS,SERVATII INC,SERVATII INC,002802,00280294,000280294,0000280294,0000028029,00000280294,00000028029,PChaturvedula,True,1,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,FLNA,,,,,,,,,,,,,,
45,0000002802961,SERVATII PRETZEL SESAME PLASTIC BAG 13.6 OZ ,SALTY SNACKS,PRETZELS,SERVATII INC,SERVATII INC,002802,00280296,000280296,0000280296,0000028029,00000280296,00000028029,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,1,FLNA,SERVATII,SERVATII,MP-STRAIGHT PACK,6 CT,2.2667,00002802,000028029,0000280296,NOT Qualified,NOT Qualified,Wk - 08-17-14,2014,FLEX,
46,0000002828091,AQUAFINA PURIFIED WATER PLT WP NN RRB PLT BT 24 CT 405.6 OZ ,TOTAL WATER,REG UNFLAVORED NJSW (RUNJSW),PEPSICO INC,PCNA,002828,00282809,000282809,0000282809,0000028280,00000282809,00000028280,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,Beverages,AQUAFINA BASE,AQUAFINA,N/A,24 CT,16.9,00002828,000028280,0000282809,Wk - 09-08-13,2013,Before 2013,Before 2013,PLASTIC BOTTLE,
47,0000002848621,FIJI REGULAR WATER NR PLASTIC BOTTLE 6 CT 101.4 OZ ,TOTAL WATER,REG UNFLAVORED NJSW (RUNJSW),THE WONDERFUL CO,NATURAL WATERS OF VITI LIMITED,002848,00284862,000284862,0000284862,0000028486,00000284862,00000028486,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,Beverages,FIJI,FIJI,N/A,6 CT,16.9,00002848,000028486,0000284862,Before 2013,Before 2013,Before 2013,Before 2013,PLASTIC BOTTLE,
48,0000002918601,PROPEL ZERO KIWI STRAWBERRY ENHANCED WATER NR PLASTIC BOTTLE 1 CT 23.7 OZ - 0000002918601,TOTAL WATER,ENHANCED NJSW (ENJSW),PEPSICO INC,QTG,002918,00291860,000291860,0000291860,0000029186,00000291860,00000029186,PChaturvedula,True,1,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,Beverages,,,,,,,,,,,,,,
49,0000002934671,NURSERY REGULAR INFANT WATER NON RET PLASTIC JUG 1 CT 128 OZ ,TOTAL WATER,JUG STILL WATER,COTT CORP/COTT BEVERAGE,COTT CORP,002934,00293467,000293467,0000293467,0000029346,00000293467,00000029346,UPDIRI,True,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,Beverages,NURSERY,NURSERY,N/A,1 CT,128.00,00002934,000029346,0000293467,,,,,,
50,0000002938472,OZARKA NATURAL SPRING WATER PLSTC WRPD PLSTC BTL 28 CT 473.2 OZ ,TOTAL WATER,REG UNFLAVORED NJSW (RUNJSW),NESTLE S.A. (SWITZERLAND),NESTLE WATERS NORTH AMERICA INC,002938,00293847,000293847,0000293847,0000029384,00000293847,00000029384,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,Beverages,OZARKA,OZARKA,N/A,28 CT,16.9,00002938,000029384,0000293847,Before 2013,Before 2013,Before 2013,Before 2013,PLASTIC BOTTLE,
51,0000002957021,OZARKA NATURAL WATER PLASTIC SQURT TP BTL 1 CT 23.7 OZ ,TOTAL WATER,REG UNFLAVORED NJSW (RUNJSW),NESTLE S.A. (SWITZERLAND),NESTLE WATERS NORTH AMERICA INC,002957,00295702,000295702,0000295702,0000029570,00000295702,00000029570,UPDIRI,False,2017,2016-01-29 21:34:13.553,2016-01-29 21:34:13.553,0,Beverages,OZARKA,OZARKA,N/A,1 CT,23.7,00002957,000029570,0000295702,Before 2013,Before 2013,Before 2013,Before 2013,PLASTIC BOTTLE,
