ASINMasterId,ASIN,Product_Description
176,B0011CW7SY,"Near East, Whole Grain Blends, Roasted Pecan & Garlic, 5.4 oz"
177,B0011CZNXU,"Near East, Tomato Basil Rice Pilaf, 5.5 oz"
178,B0012V2NUG,"Lipton Brisk, Lemon Iced Tea, 12 pk, 12 oz"
179,B0014CUCU6,"Quaker Oatmeal Squares, Brown Sugar, Breakfast Cereal, 14.5 oz Box"
180,B0014CWB1E,"Quaker Instant Oatmeal Regular, 12 ct, 11.8 oz"
181,B0014CY9TQ,"Quaker Instant Oatmeal Apples & Cinnamon, 10 ct, 1.51 oz"
182,B0014D00EI,"Quaker Instant Oatmeal Maple Brown Sugar, Lower Sugar, 10 ct, 1.19 oz"
183,B0014D00Q6,"Quaker Instant Oatmeal  Flavor Variety Pack (Maple Brown sugar, Cinnamon & spice, Apples & Cinnamon), 10 ct, 1.42 oz"
184,B0014D0142,"Quaker Instant Oatmeal, Fruit and Cream Strawberry N Cream, 10 ct, 1.23 oz"
185,B0014D01C4,"Quaker Instant Oatmeal, Fruit and Cream Variety Pack, 10 ct, 1.23 oz"
186,B0014D1JWA,"Quaker Instant Oatmeal Maple Brown Sugar, 10 ct, 1.51 oz"
187,B0014D1KKQ,"Quaker Instant Oatmeal, Fruit and Cream Peaches N Cream, 10 ct, 1.23 oz"
188,B0014E1D34,"Life Cereal, Cinnamon, 18 Oz"
189,B0014E1GQS,Rice a Roni Chicken & Garlic - 5.9 oz
190,B0014E2S8I,"Rice A Roni Rice & Pasta With Tomato, Mild Green Chiles & Mexican-Style Seasonings, 6.4 oz"
191,B0014E4IWC,"Pasta Roni, Four Cheese Flavor Corkscrew Pasta, 6 oz"
192,B0014E4KA2,"Rice A Roni, Long Grain & Wild Rice Original, 4.3 Oz"
193,B0014E6MQM,"Propel Zero Nutrient Enhanced Water, Grape, 24 oz"
194,B0014E8738,"Rice A Roni Spanish Rice, 6.8 oz"
195,B0015GMY98,"Doritos Nacho Cheese Flavored Tortilla Chips, 12 Singles"
196,B0015GMYFC,"Doritos Tortilla Chips, Spicy Sweet Chili, 11 oz"
197,B0015GQ12O,"Doritos Tortilla Chips, Party Size Nacho Cheese, 16 oz"
198,B0015GQ1GA,"Fritos Hot Bean Dip , 9 Ounce"
199,B0015GQ2EQ,"Lay's Smooth Ranch Dip,15 Ounce"
200,B0015GQBHE,"Ruffles Original  Potato Chips, Party Size! (13.5 Ounce)"
201,B0015GQCH8,"Tostitos Scoops! Tortilla Chips, Party Size! (14.5 Ounce)"
202,B0015GRZZG,"Lay's Oven Baked Barbecue Flavored Potato Crisps, 6.25 Ounce"
203,B0015GS0AU,"Cheetos Crunchy Cheese Flavored Snacks, 12 Singles"
204,B0015GS10O,"Fritos Jalape̱o Cheddar Cheese Dip, 9 Ounce"
205,B0015GS1AY,"Lay's Potato Chips, Party Size Classic, 13.75 oz"
206,B0015GS4BU,"Simply Tostitos Blue Corn Tortilla Chips, 9 oz"
207,B0015GSBMM,"Tostitos Chunky Salsa - Mild, 15.5 Ounce"
208,B0015GSBUY,"Tostitos Original Restaurant Style  Tortilla Chips, Party Size! (18 Ounce)"
209,B0015GTFVS,"Cheetos Cheese Snacks, Party Size Cheetos Crunchy, 18.5 oz"
210,B0015GTGOY,"Lay's Potato Chips, Cheddar & Sour Cream, 9.5 oz"
211,B0015GTJCI,"Simply Cheetos Puffs White Cheddar Cheese Flavored Snacks, 8 Ounce"
212,B0015GTJEQ,"Simply Lay's Sea Salted Thick Cut Potato Chips, 8.5 Ounce"
213,B0015GTQJO,"Rold Gold Pretzels, Cheddar Tiny Twists, 10 oz"
214,B0015GTQKI,"Rold Gold Pretzels, original Sticks 16oz"
215,B0015GTQNA,"Ruffles Potato Chips, Smokehouse Style BBQ, 8.5 oz"
216,B0015GTRIE,"Tostitos Multigrain Tortilla Chips, 9 Ounce"
217,B0015GVJCG,"Fritos Original Bean Dip, 9 Ounce"
218,B0015GVJM6,"Fritos Corn Chips, Original, 14 oz"
219,B0015GVJMQ,"Fritos Corn Chips, Party Size Scoops, 19 oz"
220,B0015GVKF2,"Lay's French Onion Dip, 15 Ounce"
221,B0015GVKHA,"Lay's Kettle Cooked Potato Chips, Salt & Vinegar, 8.5 oz"
222,B0015GVKKC,"Lay's Potato Chips, Salt and Vinegar, 9.5 oz"
223,B0015GVNCM,"Nut Harvest Lightly Roasted Almonds, 6 oz"
224,B0015GVNP4,"Simply Ruffles Sea Salted Potato Chips, 8 Ounce"
225,B0015GVNUO,"Simply Tostitos Yellow Corn Tortilla Chips, 9 oz"
226,B0015GVUES,"Rold Gold Pretzels, Braided Honey Wheat, 10 oz"
227,B0015GVUJ8,"Rold Gold Pretzels, Honey Mustard Tiny Twists, 10 oz"
228,B0015GVUMU,"Ruffles Potato Chips, Reduced Fat, 8.5 oz"
229,B0015GVUVG,"Smartfood Popcorn, Party Size White Cheddar, 11.5 oz"
230,B00181DDIG,Pepsi One - 12 CT
231,B001A5RU0W,"Gatorade G2, Orange, 8 Pack, 20 oz each"
232,B001A5V6U2,"Gatorade G2, Grape, 32 oz"
233,B001A5V788,"Gatorade G2, Grape, 8 Pack, 20 oz each"
234,B001A5V7GU,"Gatorade G2, Low Calorie Fruit Punch, 8 Pack, 20 oz"
235,B001A5WU0C,"Gatorade G2, Fruit Punch, 32 oz"
236,B001A5WU2A,"Gatorade G2, Orange, 32 oz"
237,B001BLMKYQ,"Starbucks frappuccino mocha 9.5 fl oz, Pack of 12"
238,B001E6P5SQ,"Diet Pepsi Caffeine Free, 2 Liter"
239,B001E6P612,"Pepsi, 6pk, 24oz Bottles"
240,B001E6PC8O,"Pepsi Wild Cherry Cola, 12pk, 12 oz Cans (Packaging May Vary)"
241,B001E6R4NA,"Wild Cherry Pepsi, 2 Liter"
242,B001E6R5G6,"Diet Mountain Dew, 2 Liter"
243,B001E6R5R0,"Mountain Dew, 6pk, 24oz Bottles"
244,B001E6R97Q,"Mountain Dew Code Red, 2 Liter"
245,B001E6RAPC,"Lipton Brisk, Lemon Iced Tea, 2 Liter"
246,B001E6T4EC,"Diet Pepsi Wild Cherry, 2 Liter"
247,B001E6TBIQ,"Diet Mug Root Beer, 12 ct, 12 oz Cans"
248,B001E6USEW,"Pepsi Caffeine Free, 12pk, 12 oz Cans"
249,B001E6UTHS,"Diet Pepsi, 6 ct, 24oz Bottles"
250,B001E6UUKE,"Pepsi Zero Sugar Cola, 12 ct, 12 oz Cans (Packaging May Vary)"
251,B001E6UXWO,"Diet Sierra Mist Free, 2 Liter"
252,B001E6UZL8,"Moutain Dew Code Red, 12pk, 12 oz Cans"
253,B001E6V18O,"Diet Sierra Mist Free, 12 Ounce Cans (Pack of 12)"
254,B001E70S5K,"Schweppes Ginger Ale, 2 Liter"
255,B001EJNE3Q,"Quaker Instant Oatmeal, Raisin, Dates & Walnuts, 10 ct, 1.3 oz"
256,B001TAI2XC,"Muscle Milk, Chocolate Protein Nutrition Shake, 14 oz"
257,B001TAI2YG,"Muscle Milk, Vanilla Cream Protein Nutrition Shake, 14 oz"
258,B001TAI2ZK,"Muscle Milk, Strawberry Cream Protein Nutrition Shake, 14 oz"
259,B001TAI30E,"Muscle Milk, Light Chocolate Protein Nutrition Shake, 14 oz"
260,B001TAI32M,"Sobe Life Water, Fiji Apple Pear Zero calorie, 20 oz"
261,B001TAI33G,"Sobe Life Water, Black and Blueberry Zero Calorie, 20 oz"
262,B001TAI34A,"Sobe Life Water,  Yumberry Pomegranate Zero Calorie, 20 oz"
263,B001V6FTGM,"FREE SAMPLE: O.N.E. Coconut Water, 16.9 oz"
264,B001V8LLNA,"Lipton, Diet Iced Green Tea Citrus Jug, 1 Gallon"
265,B001V8RRO2,"Lipton, Iced Tea with Lemon Jug, Gallon"
266,B0028AWUDA,"Pepsi Made With Real Sugar, 12 ct, 12 oz Cans"
267,B002GPFKOS,"IZZE Sparkling Juice, Peach, 12 oz Glass Bottles, 4 Count"
268,B002M057RW,"Lay's Kettle Cooked Potato Chips, Mesquite BBQ, 8.5 oz"
269,B002RZ1SC0,"Cheetos Cheese Snacks, Crunchy Regular, 12.50oz."
270,B002RZ1SH0,"Doritos Tortilla Chips, Salsa Verde, 11 oz"
271,B002RZ1SIY,"Doritos, Spicy Nacho, 12 Oz"
272,B002RZ1SOS,"Tostitos Bite Size Rounds Tortilla Chips, 13 Ounce"
273,B002RZ1SRU,"Tostitos Hint of Lime Flavored Tortilla Chips, 13 Ounce"
274,B002RZ1SU2,"Tostitos Original Restaurant Style Tortilla Chips, 13 Ounce (Packaging May Vary)"
275,B002RZ22OI,"Fritos Corn Chips, Honey BBQ Twists, 10.25 oz"
276,B002RZ3T68,"Doritos Tortilla Chips, Nacho Cheese, 11 oz"
277,B002RZ3TBS,"Fritos Corn Chips, Scoops, 10.25 oz."
278,B0037YQ2ZS,Quaker Instant Oatmeal Weight Control Variety Pack - 12.6 oz
279,B003KFKZAW,"Sobe Elixir, Green Tea with Ginsing and Echinacea, 20oz Bottle"
280,B003KFL0D8,"Mountain Dew, 8ct, 12oz Bottle"
281,B003KFOMBA,"Sobe Lifewater B-Energy Strawberry Apricot, Zero Calorie, 20oz"
282,B003KFON1Y,"Sobe Power Fruit Punch, 20oz Bottle"
283,B003KFONVO,"Diet Pepsi, 8ct, 12oz Bottle"
284,B003KFQO52,"Sobe Life Water, Strawberry Dragon Fruit Zero Calorie, 20oz"
285,B003KFQODE,"Starbucks Frappuccino Vanilla Light, 4ct, 9.5oz"
286,B003KFQQOG,"Pepsi, 8ct, 12oz Bottle"
287,B003QAF7X6,"Naked Juice Orange Juice, 15.2 oz"
288,B003QAF8LM,"Naked Juice, Orange Mango, 15.2 oz"
289,B003QAFAH4,"Naked Juice, Berry Vegge Machine, 15.2 oz"
290,B003QAFB8M,"Naked Juice, Mango Protein Zone, 15.2 oz"
291,B003QAFDTY,"Naked Juice, Berry Blast, 64 oz"
292,B003QAFENO,"Naked Juice Orange Juice, 64 oz"
293,B003QAFF42,"Tropicana Pure Premium Orange Juice with Calcium + D, 59oz"
294,B003QAHBNK,"Naked Juice, Berry Blast, 15.2 oz"
295,B003QAHC7U,"Naked Juice, Orange Carrot, 15.2 oz"
296,B003QAHCSE,"Naked Juice Pomegranate Acai,  15.2 oz"
297,B003QAHD1K,"Naked Juice, Power-C Machine,  15.2 oz"
298,B003QAHDFG,"Naked Juice, Red Machine, 15.2 oz"
299,B003QAHDPG,"Naked Juice Acai Machine, 15.2 oz"
300,B003QAHED2,"Naked Juice Double Berry Protein Zone, 15.2 oz"
301,B003QAHEYQ,"Naked Pineapple Mango in Coconut Water, 15.2 oz."
302,B003QAHFBS,"Naked Juice Peach Guava with Coconut Water, 15.2 oz"
303,B003QAHG4O,"Naked Juice, Green Machine, 32 oz"
304,B003QAHGOE,"Naked Juice Protein Zone, 32 oz"
305,B003QAHH5W,"Naked Juice, Blue Machine, 64 oz"
306,B003QAHJ8M,"Tropicana, Orange Juice, No Pulp, 12 oz"
307,B003QAHJHS,"Tropicana, Orange Juice with Calcium + Vitamin D, No Pulp, 12 oz"
308,B003QAJ61U,"Naked Juice, Mighty Mango, 32 oz"
309,B003QAJ77S,"Naked Juice, Green Machine, 64 oz"
310,B003QAMOSW,"Naked Juice, Mighty Mango, 64 oz"
311,B003QB16L2,"Pepsi Soda, 12 Ounce (24 Cans)"
312,B003QB17X4,"Pepsi Diet Soda, 12 Ounce (24 Cans)"
313,B003QB193W,"Caffeine Free Diet Pepsi, 24ct, 12 oz Cans"
314,B003QB1A72,"Mountain Dew Soda, 12 Ounce (24 Cans)"
315,B003T2OLGU,"Tropicana Juice, Tangerine-Orange, 59 oz"
316,B003T2VM1M,"Tropicana Pure Premium Orange Juice, Lots of Pulp, Calcium + Vitamin D, 59 oz"
317,B003UDCE1C,"Tropicana, Ruby Red Grapefruit Juice, 59 oz"
318,B003UDEJ3I,"Tropicana, Orange Juice, Grovestand Lots of Pulp, 59 oz"
319,B003V0OKX4,"Mountain Dew Throwback, 12ct, 12oz Cans"
320,B0040HJHJO,"Starbucks Frappuccino, Vanilla, 13.7 oz"
321,B0040Q10Q8,"Aquafina Purified Drinking Water, 96 Fl Oz"
322,B0041H79PW,"Sierra Mist Natural, 12pk, 12oz Cans"
323,B0041HC5Q0,"Sierra Mist Natural, 2 Liter"
324,B0041LYIBQ,"Quaker Instant Oatmeal, Cinnamon and Spice, 10 ct"
325,B0041M086Y,"Tropicana, Orange Juice, Homestyle, Some Pulp, 89 oz"
326,B0041M3PSM,"Tropicana, Orange Juice with Calcium + Vitamin D, No Pulp, 89 oz"
327,B0041M5UNK,"Tropicana, Orange Juice, No Pulp, 89 oz"
328,B0041M5V4S,"Tropicana, Orange Juice, Grovestand Lots of Pulp, 89 oz"
329,B0044MYSUI,"Starbucks Doubleshot Energy, Coffee, 15 oz"
330,B004C1L59S,"Quaker Real Medleys Multigrain Fruit and Nut Bar, Apple Nut Harvest, 6.7 Ounce"
