trip_id,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,lat_dist,lon_dist,lat_miles,lon_miles,totaldistance,Speed,date,Time_day,age,weight,calories_burned
551537,2125,5/20/2018 12:16,5/20/2018 12:51,3423,West Drive & Prospect Park West,40.66106337,-73.97945255,3423,West Drive & Prospect Park West,40.66106337,-73.97945255,14809,Subscriber,1989,2,0,0,0,0,0.00,0,5/20/2018,12,20-39,167.6,359.75
581258,839,5/11/2018 18:14,5/11/2018 18:28,3423,West Drive & Prospect Park West,40.66106337,-73.97945255,365,Fulton St & Grand Ave,40.68223166,-73.9614583,28172,Subscriber,1989,2,-0.021168288,-0.01799425,-2.354545155,-1.533227976,2.81,12.05611982,5/11/2018,18,20-39,167.6,142.04
607792,1295,3/9/2018 17:21,3/9/2018 17:43,3310,14 St & 7 Ave,40.663779,-73.98396846,323,Lawrence St & Willoughby St,40.69236178,-73.98631746,27803,Subscriber,1989,2,-0.02858278,0.002349,-3.179257853,0.200150183,3.19,8.855588155,3/9/2018,17,20-39,167.6,219.23
586530,1727,2/1/2018 8:54,2/1/2018 9:22,3423,West Drive & Prospect Park West,40.66106337,-73.97945255,430,York St & Jay St,40.7014851,-73.98656928,33078,Subscriber,1989,2,-0.040421728,0.00711673,-4.496102075,0.606391967,4.54,9.45716042,2/1/2018,8,20-39,167.6,292.37
599671,267,9/29/2017 17:01,9/29/2017 17:05,3310,14 St & 7 Ave,40.663779,-73.98396846,3304,6 Ave & 9 St,40.668127,-73.98377641,29864,Subscriber,1989,2,-0.004348,-0.00019205,-0.483627315,-0.016363918,0.48,6.524549377,9/29/2017,17,20-39,167.6,45.20
601468,504,9/26/2017 15:31,9/26/2017 15:39,3297,6 St & 7 Ave,40.6686627,-73.97988067,3416,7 Ave & Park Pl,40.6776147,-73.97324283,21145,Subscriber,1989,2,-0.008952,-0.00663784,-0.995729467,-0.565587438,1.15,8.179635993,9/26/2017,15,20-39,167.6,85.32
572800,1399,9/24/2017 13:31,9/24/2017 13:55,3300,Prospect Park West & 8 St,40.66514682,-73.97637606,392,Jay St & Tech Pl,40.695065,-73.987167,21628,Subscriber,1989,2,-0.029918185,0.010790943,-3.32779469,0.919459039,3.45,8.884153131,9/24/2017,13,20-39,167.6,236.84
627159,1517,9/8/2017 19:27,9/8/2017 19:52,3478,2 Ave & 36 St - Citi Bike HQ at Industry City,40.65708867,-74.00870204,3416,7 Ave & Park Pl,40.6776147,-73.97324283,19541,Subscriber,1989,2,-0.020526033,-0.03545921,-2.283107263,-3.021356883,3.79,8.986887511,9/8/2017,19,20-39,167.6,256.82
636068,714,9/4/2017 18:59,9/4/2017 19:11,3310,14 St & 7 Ave,40.663779,-73.98396846,3396,Clinton St & 4 Place,40.6783563,-74.00014502,30609,Subscriber,1989,2,-0.0145773,0.01617656,-1.621430648,1.378348849,2.13,10.73000278,9/4/2017,18,20-39,167.6,120.88
568022,161,8/1/2017 12:31,8/1/2017 12:34,3306,10 St & 7 Ave,40.6662078,-73.98199886,3365,3 St & 7 Ave,40.6703837,-73.97839676,25517,Subscriber,1989,2,-0.0041759,-0.0036021,-0.464484661,-0.306922509,0.56,12.44860372,8/1/2017,12,20-39,167.6,27.26
560374,273,6/30/2017 7:08,6/30/2017 7:13,3310,14 St & 7 Ave,40.663779,-73.98396846,3365,3 St & 7 Ave,40.6703837,-73.97839676,20832,Subscriber,1989,2,-0.0066047,-0.0055717,-0.73463968,-0.474745328,0.87,11.53434339,6/30/2017,7,20-39,167.6,46.22
557048,2952,5/23/2017 12:54,5/23/2017 13:43,3313,6 Ave & 12 St,40.6663181,-73.9854617,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,21481,Subscriber,1989,2,-0.04628676,-0.02281767,-5.148468596,-1.944214912,5.50,6.711384632,5/23/2017,12,20-39,167.6,499.75
634091,606,3/25/2017 8:58,3/25/2017 9:08,3423,West Drive & Prospect Park West,40.66106337,-73.97945255,3417,Baltic St & 5 Ave,40.6795766,-73.97854971,20963,Subscriber,1989,2,-0.018513228,-0.00090284,-2.059223274,-0.076927916,2.06,12.24154277,3/25/2017,8,20-39,167.6,102.59
610666,361,12/11/2016 16:01,12/11/2016 16:07,3322,12 St & 4 Ave,40.668603,-73.9904394,3398,Smith St & 9 St,40.6746957,-73.99785768,26056,Subscriber,1989,2,-0.0060927,0.00741828,-0.677690005,0.632086037,0.93,9.241456678,12/11/2016,16,20-39,167.6,61.11
574068,1310,11/6/2016 12:09,11/6/2016 12:31,3423,West Drive & Prospect Park West,40.66106337,-73.97945255,3349,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,22477,Subscriber,1989,2,-0.011904528,-0.00857271,-1.324138675,-0.730451068,1.51,4.155803282,11/6/2016,12,20-39,167.6,221.77
596823,217,11/6/2016 12:01,11/6/2016 12:04,3310,14 St & 7 Ave,40.663779,-73.98396846,3423,West Drive & Prospect Park West,40.66106337,-73.97945255,25703,Subscriber,1989,2,0.002715628,-0.00451591,0.302058861,-0.384785071,0.49,8.115463054,11/6/2016,12,20-39,167.6,36.74
590758,361,10/19/2016 20:27,10/19/2016 20:33,3297,6 St & 7 Ave,40.6686627,-73.97988067,3349,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,22074,Subscriber,1989,2,-0.0043052,-0.00900083,-0.478866678,-0.766929661,0.90,9.016493874,10/19/2016,20,20-39,167.6,61.11
